dataset,map4,morgan,ap
COX-2,0.5469872663767263,0.5706565118820166,0.6088812789453852
COX-2,0.4949996459731093,0.5615232669470932,0.5625644706317212
COX-2,0.5424257886178518,0.5848738659471859,0.5954099583762381
COX-2,0.49979326350116926,0.5439599106572408,0.562078821132977
COX-2,0.5547088489846148,0.6089037250045579,0.6155409007177057
Glucocorticoid,0.598920422747293,0.6650220160750089,0.6612665148749797
Glucocorticoid,0.6263886448674193,0.6929656924175169,0.6995663888163748
Glucocorticoid,0.5952742008236329,0.6879456426732431,0.6822188289958454
Glucocorticoid,0.5862204384617017,0.5732738306423967,0.6530766212743904
Glucocorticoid,0.5959952379417568,0.6782857308663168,0.6842317765371657
opioid,0.671238531934904,0.7281820532048071,0.7233892256200927
opioid,0.6518011424060068,0.6856693888550994,0.7023122619375753
opioid,0.6734817689292195,0.7200567662524073,0.6961802443048206
opioid,0.6792203643152848,0.7392628907430718,0.7210463995542369
opioid,0.6873714869926353,0.6900305628892236,0.7234997917500896
COX-1,0.25913726003015514,0.34797609975633204,0.3232232347667141
COX-1,0.32103453740266774,0.4136466747723634,0.43293292701279806
COX-1,0.33601429584114706,0.43462859456816105,0.39764520606353926
COX-1,0.24273395485816807,0.29580396749163185,0.2913323221171116
COX-1,0.32337575838036425,0.4014861249538513,0.41486265701505487
Carbonic,0.7530693137877839,0.7780509697441748,0.7761653234609174
Carbonic,0.7743417891386679,0.7765902958432408,0.7857856437460042
Carbonic,0.775459398204594,0.776120634792588,0.7761384726801639
Carbonic,0.7670875948503638,0.8109720051799912,0.8162666150139701
Carbonic,0.7868292226384682,0.796609443881951,0.8145452002502418
Vanilloid,0.42863829417719,0.48178006482041447,0.5000325341978813
Vanilloid,0.42217824596923204,0.4569887244173527,0.4599502884806087
Vanilloid,0.4049329464476692,0.43298283027992224,0.47193888451895327
Vanilloid,0.4783169191995552,0.465702956489772,0.5201931175829269
Vanilloid,0.4308968204185063,0.4322139927731813,0.4681626725941098
JAK2,0.6120645183141851,0.7280561025537745,0.7001888240756312
JAK2,0.6419739333022105,0.7115902483956449,0.6973380414851109
JAK2,0.6462600905385772,0.6889490802605684,0.6765842269025117
JAK2,0.6496701721922706,0.7131492546140548,0.683100538621557
JAK2,0.6158146989991332,0.7129468145711269,0.6864639915900682
Acetylcholinesterase,0.6140736615174152,0.6864868840893517,0.7016806279492267
Acetylcholinesterase,0.5935003518235702,0.6967648940890023,0.7267859164719065
Acetylcholinesterase,0.6184623032080332,0.7108861529881707,0.727266422141214
Acetylcholinesterase,0.6270091828172788,0.6994884725103118,0.7157872868205857
Acetylcholinesterase,0.6178479578971694,0.7101062934845306,0.7231677238714427
Coagulation,0.5181552980684687,0.6222390360093698,0.6259507542210394
Coagulation,0.5046565826055109,0.5556208852642966,0.5986087712310971
Coagulation,0.5427833854584221,0.5972093139821744,0.5806932460895623
Coagulation,0.5675078837253504,0.6306855901286329,0.622820552813521
Coagulation,0.5451306239293593,0.6368738687029729,0.6262194844469844
Glycogen,0.5141783717216928,0.6196775820129958,0.6309014689349606
Glycogen,0.5359639194477356,0.6299848052255506,0.6292063264121253
Glycogen,0.5024947398363866,0.5359109580618815,0.5549981056053694
Glycogen,0.5437742209541196,0.570259322542082,0.6045756622590184
Glycogen,0.5526245740279283,0.6243347340223633,0.6139975115635173
erbB1,0.6850551259339952,0.7366090123037954,0.7241505176873125
erbB1,0.667406875383338,0.7314737935687361,0.7246275300240846
erbB1,0.6784937892263985,0.7120794682196934,0.7189814034831596
erbB1,0.6836594689631552,0.72026526847934,0.7261057656368985
erbB1,0.6977545806156503,0.7440058632283212,0.7395619937415023
Ephrin,0.49195870932925,0.6029963752059988,0.5951161588622473
Ephrin,0.5410789502258526,0.6193713884152932,0.6128362968261246
Ephrin,0.5344737458782102,0.6204820905671518,0.6148142452541787
Ephrin,0.5591127034674992,0.61988547676118,0.6102540874755796
Ephrin,0.5134481447268224,0.6051820062182254,0.5739404636302363
ABL1,0.49654206033031245,0.6092954268921313,0.6277179479512929
ABL1,0.5578995478514412,0.6513297460819688,0.6427071458102998
ABL1,0.5204189138741704,0.6118848138300057,0.6030577955783248
ABL1,0.5883595245676876,0.6682444496894713,0.6750480589033951
ABL1,0.49067012832271506,0.6311099669590952,0.6261029635611788
Monoamine,0.5857962298755179,0.6705459786140582,0.6882170039288924
Monoamine,0.5643935836705918,0.6730220474156142,0.6632822127518453
Monoamine,0.46797800135858425,0.5402307718453007,0.5509583147090775
Monoamine,0.5477163578111545,0.6555416241032241,0.6453387840683191
Monoamine,0.5336691496245279,0.6160080298167288,0.6006870313685935
LCK,0.5690054098804629,0.6055946546250294,0.6041363663982463
LCK,0.5528571805752938,0.5392227599613301,0.5546026472656349
LCK,0.5803553136198949,0.5822057220294292,0.6197569387423465
LCK,0.5695412514663385,0.6153141604151937,0.6061589183762948
LCK,0.5721463163890863,0.5817484493985899,0.6069956806458255
Estrogen,0.6915896805021771,0.7431017754775204,0.7550769455797892
Estrogen,0.7331867464010928,0.7806400156835264,0.7848155210026424
Estrogen,0.6996316169710846,0.7645579965430407,0.7920218136094619
Estrogen,0.6939962863822314,0.7446171826039691,0.7382049015078072
Estrogen,0.7071017118239551,0.7355594961392571,0.7510349627483552
B-raf,0.712760704898673,0.7620081926957689,0.7595864218819904
B-raf,0.720518492618099,0.7752241035805554,0.7714658351295106
B-raf,0.6824587957778219,0.7560516389206098,0.7538356391772526
B-raf,0.7200241105415073,0.7658859848467381,0.7790327610643177
B-raf,0.7165321569909706,0.7679920590132848,0.7838491529750978
Cannabinoid,0.6162955950150335,0.6935464577595178,0.6844975006219955
Cannabinoid,0.6594776345581849,0.6858121678003781,0.7096409791561755
Cannabinoid,0.635634953306857,0.685968519158893,0.6720883373163653
Cannabinoid,0.6073266092385099,0.6377415789897842,0.6561895925228421
Cannabinoid,0.6735351469465428,0.7134686857425702,0.7227839260817842
Aurora-A,0.6251946174363572,0.6867955746693452,0.6646913486428344
Aurora-A,0.6446938108949625,0.6978839822361662,0.7114275307889577
Aurora-A,0.6494680559575723,0.7129111084045079,0.7178302631037778
Aurora-A,0.6134924927291101,0.6880400839308969,0.6956004045098487
Aurora-A,0.6422239242648642,0.6775154156652196,0.695223681400343
A2a,0.575927803462285,0.6187219884298929,0.6036909269817913
A2a,0.4690088029574123,0.48065068642392106,0.49150012121399844
A2a,0.5610599049464638,0.5895744558019884,0.6398662184437074
A2a,0.35399999061622756,0.3757110240782884,0.4326839392030325
A2a,0.6421837708738988,0.6529415811112471,0.6552751707642359
HERG,0.4476026679881705,0.556481065137896,0.5798815049328081
HERG,0.40938311091233415,0.48871705893751316,0.5143275768757005
HERG,0.48971366344883493,0.5975506325846399,0.599112406620538
HERG,0.47529219476495677,0.5616351609763204,0.593611378216405
HERG,0.4371821062885768,0.5543030410988674,0.5698674165168033
Caspase,0.8117992634131808,0.8573367016805262,0.8264620159196215
Caspase,0.7903032677944989,0.8511703398018231,0.8343723292620056
Caspase,0.8205667506046246,0.838724893366869,0.8158857535028907
Caspase,0.8170367005937662,0.8528587584942385,0.8303620467052953
Caspase,0.819423694618799,0.8573626456604495,0.8428182235602225
Dihydrofolate,0.37560662659153143,0.41756047806329244,0.3629247027428668
Dihydrofolate,0.6652934847462737,0.6712180237313043,0.6817330481064428
Dihydrofolate,0.5485836769882406,0.5604230794904685,0.5667244381016716
Dihydrofolate,0.4867885213764819,0.5815146789652028,0.580165311318503
Dihydrofolate,0.5128665933874375,0.5142961586398807,0.5434803291351624
Dopamine,0.47145979139026484,0.5633694335315969,0.5438294136682255
Dopamine,0.33404585742960724,0.38442129265633374,0.4225088590038306
Dopamine,0.4192086913148798,0.5466385252621515,0.5258082802113357
Dopamine,0.4046630225573403,0.542028290824,0.4952578840782298
Dopamine,0.5078724629901752,0.6167627246252296,0.5934544317999579
